PAR4,PAR,Cancel + Reinstate,Cancel then reinstate same action,2026-01-01,2026-12-31,365,2026-06-15,200,0.54795,8500.00,8500.00,0.00,0 x (200/365),0.00,0.00,0.00,NO IMPACT,Cancel writes -X, reinstate clears deleted_at → final = 0
,
=== EAR (Erection All Risk) ===,,,,,,,,,,,,,,,,,,
EAR1,EAR,SI Increase,Project value uplift,2026-03-01,2027-02-28,365,2026-06-01,273,0.74795,21000.00,26250.00,5250.00,5250 x (273/365),3926.71,3444.49,482.22,CHARGE,total_premium increased
EAR2,EAR,Section3 Add,Add advance loss of profits,2026-01-01,2026-12-31,365,2026-05-15,231,0.63288,21000.00,23625.00,2625.00,2625 x (231/365),1661.30,1457.28,204.02,CHARGE,Section3 ALOP add
EAR3,EAR,Cancel Coverage,Project completed early — cancel,2026-04-01,2027-03-31,365,2026-10-01,182,0.49863,21000.00,0.00,-21000.00,-21000 x (182/365),-10471.23,-9185.29,-1285.94,REFUND,Common scenario — project early completion
,
=== TRAVEL ===,,,,,,,,,,,,,,,,,,
TRV1,Travel,Days Extension,Extend trip from 7 to 14 days,2026-06-01,2026-06-07,7,2026-06-04,3,0.42857,250.00,500.00,250.00,250 x (3/7),107.14,93.98,13.16,CHARGE,Term Days = trip length (7) NOT 365 for travel
TRV2,Travel,Cover Upgrade,Add medical evac to existing policy,2026-07-01,2026-07-14,14,2026-07-05,9,0.64286,350.00,480.00,130.00,130 x (9/14),83.57,73.31,10.26,CHARGE,Mid-trip upgrade
TRV3,Travel,Cancel Trip,Trip cancelled before departure,2026-08-15,2026-08-29,14,2026-08-14,15,1.07143,400.00,0.00,-400.00,-400 x (14/14),-400.00,-350.88,-49.12,REFUND,Pre-trip cancel → full refund (capped at annual per writeProRata cap rule)
TRV4,Travel,Add Insured,Add second traveler mid-trip,2026-09-01,2026-09-15,14,2026-09-05,10,0.71429,300.00,500.00,200.00,200 x (10/14),142.86,125.31,17.55,CHARGE,Joint trip add
,
=== MEDICAL MALPRACTICE ===,,,,,,,,,,,,,,,,,,
MM1,Med-Mal,SI Increase,Indemnity limit uplift,2026-01-01,2026-12-31,365,2026-04-01,275,0.75342,9500.00,11400.00,1900.00,1900 x (275/365),1431.51,1255.71,175.80,CHARGE,annual_premium primary col
MM2,Med-Mal,Add Insured Person,Add associate physician,2026-01-01,2026-12-31,365,2026-07-01,184,0.50411,9500.00,11875.00,2375.00,2375 x (184/365),1197.26,1050.23,147.03,CHARGE,annual_premium increase
MM3,Med-Mal,Cancel Practice,Doctor retiring — cancel,2026-03-01,2027-02-28,365,2026-11-30,90,0.24658,9500.00,0.00,-9500.00,-9500 x (90/365),-2342.47,-2054.80,-287.67,REFUND,Late-term cancel, small refund
,
=== MACHINERY BREAKDOWN ===,,,,,,,,,,,,,,,,,,
MB1,Machinery,SI Increase,New press machine added,2026-01-01,2026-12-31,365,2026-04-01,275,0.75342,7800.00,10140.00,2340.00,2340 x (275/365),1763.01,1546.50,216.51,CHARGE,premium col
MB2,Machinery,Cancel Coverage,Decommission — full cancel,2026-06-01,2027-05-31,365,2026-11-01,211,0.57808,12000.00,0.00,-12000.00,-12000 x (211/365),-6936.99,-6084.20,-852.79,REFUND,Premium refund mid-term
MB3,Machinery,Backdated Endorse,Endorse effective 1mo before today (SI up),2026-01-01,2026-12-31,365,2026-04-01,275,0.75342,7800.00,9100.00,1300.00,1300 x (275/365),979.45,859.17,120.28,CHARGE,Test BackdatedEndorseRefresher propagates to future RENEW
,
=== PROFESSIONAL INDEMNITY ===,,,,,,,,,,,,,,,,,,
PI1,PI,Indemnity Uplift,Increase limit from 2M to 5M,2026-01-01,2026-12-31,365,2026-05-01,245,0.67123,8400.00,14700.00,6300.00,6300 x (245/365),4228.77,3709.45,519.32,CHARGE,premium col uplift
PI2,PI,Add Insured Person,Add new partner to firm,2026-01-01,2026-12-31,365,2026-07-01,184,0.50411,8400.00,10500.00,2100.00,2100 x (184/365),1058.63,928.62,130.01,CHARGE,Partner-add scenario
PI3,PI,Retroactive Date Change,Backdate retroactive cover,2026-04-01,2027-03-31,365,2026-09-01,212,0.58082,8400.00,9450.00,1050.00,1050 x (212/365),609.86,535.00,74.86,CHARGE,Retro-date premium uplift
PI4,PI,Cancel,Practice closing,2026-03-01,2027-02-28,365,2026-12-31,59,0.16164,8400.00,0.00,-8400.00,-8400 x (59/365),-1357.81,-1191.06,-166.75,REFUND,Late-term cancel
,
=== MARINE DIRECTORS & OFFICERS ===,,,,,,,,,,,,,,,,,,
MDO1,Marine-D&O,Limit Increase,Board liability limit uplift,2026-01-01,2026-12-31,365,2026-04-01,275,0.75342,15000.00,18750.00,3750.00,3750 x (275/365),2825.34,2478.37,346.97,CHARGE,premium primary
MDO2,Marine-D&O,Add Director,Add new board member to cover,2026-01-01,2026-12-31,365,2026-08-01,153,0.41918,15000.00,17250.00,2250.00,2250 x (153/365),943.15,827.32,115.83,CHARGE,Director add mid-term
MDO3,Marine-D&O,Cancel,Company restructure — cancel D&O,2026-06-01,2027-05-31,365,2026-09-01,272,0.74521,15000.00,0.00,-15000.00,-15000 x (272/365),-11178.08,-9805.33,-1372.75,REFUND,Mid-term cancel
,
=== MARINE CARGO ONCE-OFF ===,,,,,,,,,,,,,,,,,,
MCOO1,Marine-Once-Off,SI Increase,Increase declared shipment value,2026-04-01,2026-04-30,30,2026-04-10,20,0.66667,1800.00,2400.00,600.00,600 x (20/30),400.00,350.88,49.12,CHARGE,30-day shipment cover term
MCOO2,Marine-Once-Off,Voyage Date Change,Push voyage to next month,2026-05-01,2026-05-31,31,2026-05-15,16,0.51613,2200.00,2200.00,0.00,0 x (16/31),0.00,0.00,0.00,NO IMPACT,Date change with no premium delta
MCOO3,Marine-Once-Off,Cancel Shipment,Shipment cancelled,2026-06-01,2026-06-30,30,2026-06-05,25,0.83333,1800.00,0.00,-1800.00,-1800 x (25/30),-1500.00,-1315.79,-184.21,REFUND,Pre-shipment cancel, near-full refund
,
=== MARINE CARGO OPEN (DECLARATION-BASED — VERIFY) ===,,,,,,,,,,,,,,,,,,
MCO1,Marine-Open,Rate Adjustment,Mid-policy rate revision,2026-01-01,2026-12-31,365,2026-06-01,213,0.58356,5500.00,7250.00,1750.00,1750 x (213/365),1021.23,895.82,125.41,CHARGE,⚠️ CFO-approved (2026-05-25) standard newDays factor applies
MCO2,Marine-Open,Add Conveyance Type,Add air freight to schedule,2026-03-01,2027-02-28,365,2026-08-15,196,0.53699,5500.00,6325.00,825.00,825 x (196/365),443.01,388.61,54.40,CHARGE,Schedule expansion
MCO3,Marine-Open,Cancel Open Cover,Customer terminating account,2026-01-01,2026-12-31,365,2026-10-01,91,0.24932,5500.00,0.00,-5500.00,-5500 x (91/365),-1371.23,-1202.83,-168.40,REFUND,Late-term cancel
,
=== CROSS-COVERAGE SCENARIOS ===,,,,,,,,,,,,,,,,,,
X1,CAR+PAR,Multi-section endorse,Both sections increase together,2026-01-01,2026-12-31,365,2026-05-01,245,0.67123,20500.00,25750.00,5250.00,5250 x (245/365),3523.97,3091.20,432.77,CHARGE,Combined annual covers car + par on same policy
X2,EAR+Machinery,Cancel one, increase other,Cancel EAR project, increase MB SI,2026-04-01,2027-03-31,365,2026-09-15,198,0.54247,32000.00,15000.00,-17000.00,-17000 x (198/365),-9221.92,-8089.40,-1132.52,REFUND,Net refund — EAR cancel dominates MB uplift
X3,Travel+PI,NIL on Travel + Charge on PI,Travel unchanged; PI limit uplift,2026-01-01,2026-12-31,365,2026-07-15,170,0.46575,9200.00,12000.00,2800.00,2800 x (170/365),1304.11,1144.00,160.11,CHARGE,Per-table delta — Travel section is 0 here
,
=== EDGE CASES ===,,,,,,,,,,,,,,,,,,
E1,Any,Backdated Endorse,Endorse effective_from before today; later RENEW exists,2026-01-01,2026-12-31,365,2026-03-15,292,0.80000,10000.00,12000.00,2000.00,2000 x (292/365),1600.00,1403.51,196.49,CHARGE,BackdatedEndorseRefresher must propagate to future RENEW. Renewal premium changes, ledger adjusted in-place.
E2,Any,Same-action Cancel + Reinstate,Operator cancels then immediately reinstates,2026-01-01,2026-12-31,365,2026-06-15,200,0.54795,10000.00,10000.00,0.00,(cancel writes -X, reinstate clears deleted_at),0.00,0.00,0.00,NO IMPACT,Net premium effect = 0 once rated again
E3,Any,Cap rule — rounding,Pro-rata calc rounds to slightly more than annual,2026-01-01,2026-01-02,1,2026-01-01,1,1.00000,365.00,0.00,-365.00,-365 x (1/1) capped at -365,-365.00,-320.18,-44.82,REFUND,Cap |pro_rate| ≤ |annual| applied; no over-refund
E4,Any,Empty specialist table on policy,No specialist row attached → sumAnnualForAction returns 0,2026-01-01,2026-12-31,365,2026-06-01,213,0.58356,10000.00,10000.00,0.00,0 x (213/365),0.00,0.00,0.00,NO IMPACT,Motor-only policies must remain byte-identical
E5,Any,Phantom row on motor-only policy,Stale specialist row from legacy data,2026-01-01,2026-12-31,365,2026-06-01,213,0.58356,10000.00,12983.00,2983.00,(WRONG! Phantom 2983 from ear_coverages),1740.55,1526.80,213.75,⚠️ INVESTIGATE,Pre-deploy snapshot test — if pro-rata changes on motor-only policy, phantom rows exist; clean before code deploy
